name,draft_year,draft_position,draft_age,height,weight,wingspan,pts,reb,ast,stl,blk,pf,to,g,mp,max_vertical,lane_agility,shuttle,3/4_sprint,standing_reach,fg%,3p%,3pa_rate,fta_rate,ft%,effective_fg%,true_shooting_%,usg%,ast/usg,ast/to,per,ortg,drtg,obpm,dbpm,bpm,ows/40,dws/40,ws/40,proj_nba_3p%,peak_darko,fgm,fga,3pm,3pa,ftm,fta,team_Mid-Major,team_Other,team_Power_6,Freshman,Sophomore,Junior,Senior,Other,predicted_peak_darko,prediction_lower_80pct,prediction_upper_80pct,prediction_lower_95pct,prediction_upper_95pct
Cooper Flagg,2025,1,18.5,81.0,221,84.0,22.5,8.8,4.9,1.6,1.6,2.2,2.5,37.0,36.0,35.5,10.64,2.92,3.3,106.5,0.481,0.385,0.272,0.429,0.84,0.533,0.593,30.9,0.87,2.0,30.4,126.3,89.5,9.7,6.7,16.3,0.18,0.116,0.296,0.367,,7.6,15.8,1.6,4.3,5.7,6.8,0,0,1,1,0,0,0,0,2.2903117891826192,0.12762378918261907,4.45299978918262,-1.0213042108173807,5.60192778918262
Dylan Harper,2025,2,19.3,77.75,213,82.5,21.5,5.1,4.5,1.6,0.6,2.1,2.7,29.0,36.0,36.5,11.07,3.05,3.16,102.0,0.484,0.333,0.374,0.419,0.75,0.546,0.587,29.0,0.93,1.67,24.6,118.1,110.1,7.0,2.1,9.2,0.127,0.038,0.165,0.357,,7.4,15.3,1.9,5.7,4.8,6.4,0,0,1,1,0,0,0,0,0.3798783572664195,-1.7828096427335807,2.54256635726642,-2.93173764273358,3.6914943572664196
V.J. Edgecombe,2025,3,19.89,77.25,193,79.5,16.5,6.2,3.5,2.3,0.7,2.8,2.1,33.0,36.0,38.5,11.27,2.93,3.2,101.5,0.436,0.34,0.402,0.373,0.782,0.504,0.552,24.1,0.8,1.66,22.1,119.1,102.5,7.1,4.3,11.4,0.111,0.067,0.178,0.359,,5.5,12.7,1.7,5.1,3.7,4.7,0,0,1,1,0,0,0,0,0.987514675939609,-1.1751733240603912,3.1502026759396093,-2.3241013240603907,4.299130675939609
Kon Knueppel,2025,4,19.88,78.25,219,78.25,17.0,4.7,3.2,1.2,0.2,2.5,1.6,39.0,36.0,,,,,101.5,0.479,0.406,0.548,0.339,0.914,0.59,0.642,21.4,0.73,2.02,21.3,133.7,98.8,6.9,3.9,10.8,0.151,0.081,0.232,0.392,,5.5,11.4,2.5,6.3,3.5,3.9,0,0,1,1,0,0,0,0,1.1633657558857078,-0.9993222441142924,3.3260537558857077,-2.1482502441142923,4.4749817558857075
Ace Bailey,2025,5,18.85,80.75,203,84.5,19.0,7.7,1.4,1.1,1.4,3.0,2.2,30.0,36.0,34.5,10.97,2.78,3.12,107.0,0.46,0.346,0.308,0.243,0.692,0.514,0.536,27.5,0.3,0.62,19.9,108.2,109.1,3.7,0.8,4.5,0.068,0.044,0.112,0.346,,7.3,15.9,1.7,4.9,2.7,3.9,0,0,1,1,0,0,0,0,-1.1360439261407962,-3.298731926140796,1.026644073859204,-4.447659926140796,2.175572073859204
Tre Johnson,2025,6,19.29,78.0,190,82.25,20.7,3.2,2.8,1.0,0.3,2.2,1.9,33.0,36.0,37.5,10.49,3.11,3.28,101.0,0.427,0.397,0.427,0.265,0.871,0.511,0.557,29.1,0.57,1.5,19.7,115.1,109.9,6.5,1.2,7.7,0.105,0.038,0.147,0.39,,7.0,16.5,2.8,7.0,3.8,4.4,0,0,1,1,0,0,0,0,-0.8099875957261458,-2.972675595726146,1.3527004042738544,-4.121603595726146,2.501628404273854
Jeremiah Fears,2025,7,18.68,75.75,180,77.25,20.4,4.9,4.9,2.0,0.1,2.2,4.1,34.0,36.0,36.5,10.95,3.09,3.05,98.5,0.434,0.284,0.323,0.518,0.851,0.48,0.562,31.5,0.91,1.21,20.7,108.2,107.5,4.2,1.7,5.9,0.082,0.047,0.132,0.36,,6.3,14.5,1.3,4.7,6.4,7.5,0,0,1,1,0,0,0,0,-0.16427479102321524,-2.3269627910232153,1.998413208976785,-3.475890791023215,3.1473412089767847
Egor Demin,2025,8,19.3,81.5,199,82.25,13.9,5.1,7.1,1.5,0.5,1.6,3.8,33.0,36.0,32.0,11.31,2.93,3.33,105.5,0.412,0.273,0.503,0.268,0.695,0.48,0.509,24.5,1.41,1.86,15.6,103.9,105.6,3.1,2.2,5.3,0.048,0.057,0.101,0.344,,5.0,12.1,1.7,6.1,2.3,3.3,1,0,0,1,0,0,0,0,-1.2520880085028678,-3.414776008502868,0.9105999914971323,-4.563704008502867,2.059527991497132
Collin Murray-Boyles,2025,9,20.03,79.75,239,84.75,19.8,9.7,2.8,1.7,1.6,3.0,2.9,32.0,36.0,34.5,11.21,2.86,3.15,106.0,0.586,0.265,0.101,0.556,0.707,0.599,0.63,26.7,0.79,0.99,27.8,119.6,100.4,6.9,5.0,11.9,0.127,0.073,0.2,0.321,,7.3,12.4,0.3,1.2,4.9,6.9,0,0,1,0,1,0,0,0,1.0898590484095776,-1.0728289515904226,3.2525470484095775,-2.2217569515904225,4.401475048409577
Khaman Maluach,2025,10,18.76,86.0,253,90.75,14.6,11.2,0.9,0.3,2.2,3.5,1.3,39.0,36.0,30.0,12.05,3.44,3.5,114.0,0.712,0.25,0.084,0.403,0.766,0.723,0.736,16.1,0.27,0.67,25.5,147.3,94.3,6.2,3.6,9.9,0.164,0.097,0.261,0.325,,5.9,8.3,0.2,0.7,2.6,3.3,0,0,1,1,0,0,0,0,0.8733427792236135,-1.2893452207763867,3.036030779223614,-2.438273220776386,4.184958779223614
